theta_deg,phi_deg,RCS_total_dBsm,RCS_VV_dBsm,RCS_HH_dBsm
36,216,-17.6288,-20.1972,-21.1311
36,226.286,-17.2985,-21.5659,-19.3351
36,236.571,-16.9965,-23.5348,-18.0861
36,246.857,-16.7536,-26.4679,-17.2441
36,257.143,-16.5904,-31.4088,-16.736
36,267.429,-16.5184,-45.3181,-16.5242
36,277.714,-16.5426,-35.7991,-16.5944
36,288,-16.6612,-28.5567,-16.9514
36,298.286,-16.8661,-24.8431,-17.6199
36,308.571,-17.1418,-22.4597,-18.6531
36,318.857,-17.4625,-20.8195,-20.1517
36,329.143,-17.7916,-19.682,-22.3148
36,339.429,-18.0821,-18.9286,-25.6
36,349.714,-18.2838,-18.497,-31.4799
36,360,-18.3563,-18.3563,-300
41.1429,0,-18.9763,-18.9763,-300
41.1429,10.2857,-18.8719,-19.117,-31.4775
41.1429,20.5714,-18.5851,-19.5486,-25.5976
41.1429,30.8571,-18.1816,-20.302,-22.3123
41.1429,41.1429,-17.7364,-21.4395,-20.1493
41.1429,51.4286,-17.3132,-23.0797,-18.6507
41.1429,61.7143,-16.9571,-25.4631,-17.6175
41.1429,72,-16.6963,-29.1766,-16.9489
41.1429,82.2857,-16.547,-36.4191,-16.592
41.1429,92.5714,-16.5168,-45.9381,-16.5217
41.1429,102.857,-16.6071,-32.0288,-16.7335
41.1429,113.143,-16.8135,-27.0879,-17.2417
41.1429,123.429,-17.1247,-24.1548,-18.0837
41.1429,133.714,-17.5188,-22.1859,-19.3327
41.1429,144,-17.9598,-20.8171,-21.1286
41.1429,154.286,-18.3932,-19.8821,-23.7655
41.1429,164.571,-18.7478,-19.2951,-28.0141
41.1429,174.857,-18.9497,-19.0113,-37.463
41.1429,185.143,-18.9497,-19.0113,-37.463
41.1429,195.429,-18.7478,-19.295,-28.0141
41.1429,205.714,-18.3932,-19.8821,-23.7655
41.1429,216,-17.9598,-20.8171,-21.1286
41.1429,226.286,-17.5188,-22.1859,-19.3327
41.1429,236.571,-17.1247,-24.1549,-18.0837
41.1429,246.857,-16.8135,-27.0879,-17.2417
41.1429,257.143,-16.6071,-32.0288,-16.7335
41.1429,267.429,-16.5168,-45.9381,-16.5217
41.1429,277.714,-16.547,-36.4191,-16.592
41.1429,288,-16.6963,-29.1766,-16.9489
41.1429,298.286,-16.9571,-25.4631,-17.6175
41.1429,308.571,-17.3132,-23.0797,-18.6507
41.1429,318.857,-17.7364,-21.4395,-20.1493
41.1429,329.143,-18.1816,-20.302,-22.3123
41.1429,339.429,-18.5851,-19.5486,-25.5976
41.1429,349.714,-18.8719,-19.117,-31.4775
41.1429,360,-18.9763,-18.9763,-300
46.2857,0,-19.717,-19.717,-300
46.2857,10.2857,-19.5684,-19.858,-31.4721
46.2857,20.5714,-19.1672,-20.2897,-25.5923
46.2857,30.8571,-18.619,-21.0431,-22.3071
46.2857,41.1429,-18.0337,-22.1807,-20.144
46.2857,51.4286,-17.4936,-23.8208,-18.6454
46.2857,61.7143,-17.0495,-26.204,-17.612
46.2857,72,-16.7296,-29.9174,-16.9432
46.2857,82.2857,-16.5487,-37.16,-16.5866
46.2857,92.5714,-16.5123,-46.6793,-16.5165
46.2857,102.857,-16.6216,-32.77,-16.7283
46.2857,113.143,-16.8732,-27.829,-17.2364
46.2857,123.429,-17.2574,-24.8959,-18.0784
46.2857,133.714,-17.754,-22.9268,-19.3272
46.2857,144,-18.3247,-21.5579,-21.123
46.2857,154.286,-18.904,-20.6231,-23.7601
46.2857,164.571,-19.3935,-20.0362,-28.0089
46.2857,174.857,-19.6794,-19.7524,-37.4578
46.2857,185.143,-19.6794,-19.7524,-37.4578
46.2857,195.429,-19.3935,-20.0361,-28.0089
46.2857,205.714,-18.9039,-20.623,-23.7601
46.2857,216,-18.3247,-21.5579,-21.123
46.2857,226.286,-17.7541,-22.9269,-19.3273
46.2857,236.571,-17.2575,-24.896,-18.0785
46.2857,246.857,-16.8732,-27.829,-17.2365
46.2857,257.143,-16.6216,-32.77,-16.7283
46.2857,267.429,-16.5123,-46.6792,-16.5164
46.2857,277.714,-16.5486,-37.16,-16.5865
46.2857,288,-16.7296,-29.9174,-16.9432
46.2857,298.286,-17.0495,-26.2041,-17.6121
46.2857,308.571,-17.4937,-23.8208,-18.6455
46.2857,318.857,-18.0338,-22.1807,-20.144
46.2857,329.143,-18.619,-21.0431,-22.3071
46.2857,339.429,-19.1671,-20.2897,-25.5923
46.2857,349.714,-19.5683,-19.8579,-31.472
46.2857,360,-19.717,-19.717,-300
51.4286,0,-20.6011,-20.6011,-300
51.4286,10.2857,-20.3886,-20.7418,-31.4621
51.4286,20.5714,-19.8305,-21.1733,-25.5822
51.4286,30.8571,-19.0977,-21.9269,-22.2971
51.4286,41.1429,-18.3463,-23.0644,-20.134
51.4286,51.4286,-17.6759,-24.7044,-18.6353
51.4286,61.7143,-17.1389,-27.0879,-17.6021
51.4286,72,-16.7589,-30.8015,-16.9336
51.4286,82.2857,-16.5458,-38.0439,-16.5766
51.4286,92.5714,-16.503,-47.5629,-16.5064
51.4286,102.857,-16.6312,-33.6537,-16.7183
51.4286,113.143,-16.9285,-28.7127,-17.2264
51.4286,123.429,-17.3888,-25.7796,-18.0683
51.4286,133.714,-17.9968,-23.8107,-19.3174
51.4286,144,-18.7167,-22.442,-21.1133
51.4286,154.286,-19.475,-21.5069,-23.7502
51.4286,164.571,-20.1428,-20.9198,-27.9988
51.4286,174.857,-20.5466,-20.6362,-37.4478
51.4286,185.143,-20.5466,-20.6362,-37.4477
51.4286,195.429,-20.1428,-20.9198,-27.9988
51.4286,205.714,-19.475,-21.5069,-23.7502
51.4286,216,-18.7167,-22.442,-21.1133
51.4286,226.286,-17.9968,-23.8107,-19.3174
51.4286,236.571,-17.3888,-25.7796,-18.0683
51.4286,246.857,-16.9285,-28.7127,-17.2264
51.4286,257.143,-16.6312,-33.6537,-16.7183
51.4286,267.429,-16.503,-47.5629,-16.5064
51.4286,277.714,-16.5458,-38.0439,-16.5766
51.4286,288,-16.7589,-30.8015,-16.9336
51.4286,298.286,-17.1389,-27.0879,-17.6021
51.4286,308.571,-17.6759,-24.7044,-18.6354
51.4286,318.857,-18.3463,-23.0644,-20.134
51.4286,329.143,-19.0977,-21.9268,-22.2971
51.4286,339.429,-19.8305,-21.1733,-25.5822
51.4286,349.714,-20.3886,-20.7418,-31.4621
51.4286,360,-20.6011,-20.6011,-300
56.5714,0,-21.6636,-21.6636,-300
56.5714,10.2857,-21.3568,-21.8043,-31.4494
56.5714,20.5714,-20.5801,-22.2359,-25.5696
56.5714,30.8571,-19.6123,-22.9893,-22.2844
56.5714,41.1429,-18.6675,-24.1269,-20.1213
56.5714,51.4286,-17.8563,-25.767,-18.6227
56.5714,61.7143,-17.2236,-28.1504,-17.5894
56.5714,72,-16.7839,-31.864,-16.9209
56.5714,82.2857,-16.5398,-39.1063,-16.5639
56.5714,92.5714,-16.4911,-48.6254,-16.4937
56.5714,102.857,-16.6374,-34.7162,-16.7056
56.5714,113.143,-16.9794,-29.7752,-17.2137
56.5714,123.429,-17.5163,-26.8422,-18.0557
56.5714,133.714,-18.2413,-24.8732,-19.3047
56.5714,144,-19.128,-23.5045,-21.1007
56.5714,154.286,-20.104,-22.5693,-23.7375
56.5714,164.571,-21.0099,-21.9824,-27.9861
56.5714,174.857,-21.5842,-21.6986,-37.435
56.5714,185.143,-21.5842,-21.6986,-37.435
56.5714,195.429,-21.0099,-21.9824,-27.9861
56.5714,205.714,-20.104,-22.5694,-23.7375
56.5714,216,-19.128,-23.5045,-21.1007
56.5714,226.286,-18.2413,-24.8732,-19.3046
56.5714,236.571,-17.5163,-26.8422,-18.0557
56.5714,246.857,-16.9794,-29.7752,-17.2137
56.5714,257.143,-16.6374,-34.7162,-16.7056
56.5714,267.429,-16.4911,-48.6254,-16.4937
56.5714,277.714,-16.5398,-39.1063,-16.5639
56.5714,288,-16.7839,-31.864,-16.9209
56.5714,298.286,-17.2236,-28.1504,-17.5894
56.5714,308.571,-17.8563,-25.767,-18.6227
56.5714,318.857,-18.6675,-24.1269,-20.1213
56.5714,329.143,-19.6123,-22.9893,-22.2844
56.5714,339.429,-20.5801,-22.2359,-25.5696
56.5714,349.714,-21.3569,-21.8043,-31.4494
56.5714,360,-21.6636,-21.6636,-300
61.7143,0,-22.9574,-22.9574,-300
61.7143,10.2857,-22.5037,-23.0981,-31.435
61.7143,20.5714,-21.415,-23.5296,-25.555
61.7143,30.8571,-20.1505,-24.283,-22.2698
61.7143,41.1429,-18.9868,-25.4206,-20.1067
61.7143,51.4286,-18.0284,-27.0607,-18.6082
61.7143,61.7143,-17.3014,-29.4442,-17.575
61.7143,72,-16.8047,-33.1577,-16.9064
61.7143,82.2857,-16.5316,-40.4001,-16.5495
61.7143,92.5714,-16.4772,-49.9191,-16.4792
61.7143,102.857,-16.6405,-36.0099,-16.691
61.7143,113.143,-17.0245,-31.0689,-17.1991
61.7143,123.429,-17.6357,-28.1359,-18.0411
61.7143,133.714,-18.4794,-26.167,-19.2902
61.7143,144,-19.5468,-24.7982,-21.0862
61.7143,154.286,-20.7822,-23.8631,-23.723
61.7143,164.571,-22.0076,-23.2761,-27.9716
61.7143,174.857,-22.8384,-22.9923,-37.4205
61.7143,185.143,-22.8384,-22.9923,-37.4205
61.7143,195.429,-22.0076,-23.2761,-27.9716
61.7143,205.714,-20.7822,-23.8632,-23.723
61.7143,216,-19.5468,-24.7982,-21.0862
61.7143,226.286,-18.4794,-26.167,-19.2902
61.7143,236.571,-17.6357,-28.1359,-18.0411
61.7143,246.857,-17.0245,-31.0689,-17.1991
61.7143,257.143,-16.6405,-36.0099,-16.691
61.7143,267.429,-16.4772,-49.9191,-16.4792
61.7143,277.714,-16.5316,-40.4001,-16.5495
61.7143,288,-16.8047,-33.1577,-16.9064
61.7143,298.286,-17.3014,-29.4442,-17.575
61.7143,308.571,-18.0284,-27.0607,-18.6082
61.7143,318.857,-18.9868,-25.4206,-20.1067
61.7143,329.143,-20.1505,-24.283,-22.2698
61.7143,339.429,-21.415,-23.5296,-25.555
61.7143,349.714,-22.5037,-23.0981,-31.435
61.7143,360,-22.9574,-22.9574,-300
66.8571,0,-24.5684,-24.5684,-300
66.8571,10.2857,-23.8697,-24.709,-31.4211
66.8571,20.5714,-22.326,-25.1406,-25.5413
66.8571,30.8571,-20.6946,-25.8942,-22.2562
66.8571,41.1429,-19.2928,-27.0317,-20.0931
66.8571,51.4286,-18.1875,-28.6717,-18.5944
66.8571,61.7143,-17.3711,-31.0551,-17.5611
66.8571,72,-16.8224,-34.7687,-16.8927
66.8571,82.2857,-16.5233,-42.0111,-16.5356
66.8571,92.5714,-16.4641,-51.5302,-16.4655
66.8571,102.857,-16.6426,-37.621,-16.6774
66.8571,113.143,-17.0647,-32.68,-17.1855
66.8571,123.429,-17.7445,-29.7469,-18.0274
66.8571,133.714,-18.7027,-27.7779,-19.2764
66.8571,144,-19.9577,-26.4092,-21.0724
66.8571,154.286,-21.4923,-25.4741,-23.7092
66.8571,164.571,-23.1463,-24.8871,-27.9579
66.8571,174.857,-24.3815,-24.6035,-37.4069
66.8571,185.143,-24.3815,-24.6035,-37.4069
66.8571,195.429,-23.1463,-24.8871,-27.9579
66.8571,205.714,-21.4923,-25.4741,-23.7092
66.8571,216,-19.9577,-26.4092,-21.0724
66.8571,226.286,-18.7027,-27.7779,-19.2764
66.8571,236.571,-17.7445,-29.7469,-18.0274
66.8571,246.857,-17.0647,-32.68,-17.1856
66.8571,257.143,-16.6426,-37.621,-16.6774
66.8571,267.429,-16.4641,-51.5302,-16.4655
66.8571,277.714,-16.5233,-42.0111,-16.5356
66.8571,288,-16.8224,-34.7687,-16.8927
66.8571,298.286,-17.3711,-31.0551,-17.5611
66.8571,308.571,-18.1875,-28.6717,-18.5945
66.8571,318.857,-19.2928,-27.0317,-20.0931
66.8571,329.143,-20.6946,-25.8942,-22.2562
66.8571,339.429,-22.326,-25.1406,-25.5413
66.8571,349.714,-23.8697,-24.709,-31.4211
66.8571,360,-24.5684,-24.5684,-300
72,0,-26.646,-26.646,-300
72,10.2857,-25.5001,-26.7869,-31.4103
72,20.5714,-23.2826,-27.2185,-25.5304
72,30.8571,-21.2158,-27.972,-22.2453
72,41.1429,-19.5703,-29.1096,-20.0822
72,51.4286,-18.3275,-30.7496,-18.5836
72,61.7143,-17.4319,-33.133,-17.5503
72,72,-16.838,-36.8464,-16.8816
72,82.2857,-16.5172,-44.089,-16.5248
72,92.5714,-16.4537,-53.6081,-16.4546
72,102.857,-16.645,-39.6989,-16.6665
72,113.143,-17.0995,-34.7579,-17.1746
72,123.429,-17.8395,-31.8248,-18.0165
72,133.714,-18.9021,-29.8559,-19.2655
72,144,-20.3392,-28.4869,-21.0613
72,154.286,-22.2008,-27.552,-23.6984
72,164.571,-24.418,-26.965,-27.947
72,174.857,-26.3277,-26.6813,-37.396
72,185.143,-26.3277,-26.6813,-37.396
72,195.429,-24.418,-26.965,-27.947
72,205.714,-22.2008,-27.552,-23.6984
72,216,-20.3392,-28.4869,-21.0613
72,226.286,-18.9021,-29.8559,-19.2656
72,236.571,-17.8395,-31.8248,-18.0165
72,246.857,-17.0995,-34.7579,-17.1747
72,257.143,-16.6449,-39.6989,-16.6665
72,267.429,-16.4537,-53.6081,-16.4546
72,277.714,-16.5172,-44.089,-16.5248
72,288,-16.838,-36.8464,-16.8816
72,298.286,-17.4319,-33.133,-17.5503
72,308.571,-18.3275,-30.7496,-18.5836
72,318.857,-19.5703,-29.1096,-20.0822
72,329.143,-21.2158,-27.972,-22.2453
72,339.429,-23.2826,-27.2185,-25.5304
72,349.714,-25.5001,-26.7869,-31.4103
72,360,-26.646,-26.646,-300
77.1429,0,-29.4909,-29.4909,-300
77.1429,10.2857,-27.4171,-29.6315,-31.4027
